Title,Date,URL,Location
"
		Caddo GOP August Luncheon – Congressional Candidate, Former Louisiana State Senator Elbert Guillory	","
			August 2 @ 12:00 pm - 2:00 pm		",http://new.caddogop.com/events/list,Shreveport/Bossier
"
		Caddo GOP September Luncheon – U.S. Senate Candidate, State Treasurer John Kennedy	","
			September 6 @ 12:00 pm - 2:00 pm		",http://new.caddogop.com/events/list,Shreveport/Bossier
"BPCC ""Career Fair""",07-08-2016 at 10:00 am,http://www.shreveportchamber.org//calendar.php?e=1601,Shreveport/Bossier
Ribbon Cutting -The Fuller Center for Housing NWLA,07-08-2016 at 12:30 pm,http://www.shreveportchamber.org//calendar.php?e=1608,Shreveport/Bossier
Red River Hot Air Balloon Rally,Every day at 8:00 am,http://www.shreveportchamber.org//calendar.php?e=1603,Shreveport/Bossier
Red River Hot Air Balloon Rally,Every day at 8:00 am,http://www.shreveportchamber.org//calendar.php?e=1603,Shreveport/Bossier
Ribbon Cutting - Grand reopening - Raising Cane,07-15-2016 at 9:30 am,http://www.shreveportchamber.org//calendar.php?e=1609,Shreveport/Bossier
Red River Hot Air Balloon Rally,Every day at 8:00 am,http://www.shreveportchamber.org//calendar.php?e=1603,Shreveport/Bossier
Red River Hot Air Balloon Rally,Every day at 8:00 am,http://www.shreveportchamber.org//calendar.php?e=1603,Shreveport/Bossier
Red River Hot Air Balloon Rally,Every day at 8:00 am,http://www.shreveportchamber.org//calendar.php?e=1603,Shreveport/Bossier
Red River Hot Air Balloon Rally,Every day at 8:00 am,http://www.shreveportchamber.org//calendar.php?e=1603,Shreveport/Bossier
Breakfast of Champions  Hilton Shreveport - Downtown,07-19-2016 at 8:15 am,http://www.shreveportchamber.org//calendar.php?e=1594,Shreveport/Bossier
Red River Hot Air Balloon Rally,Every day at 8:00 am,http://www.shreveportchamber.org//calendar.php?e=1603,Shreveport/Bossier
"GPC Lunch & Learn ""How to do Business with the City of Shreveport""",07-20-2016 at 11:30 am,http://www.shreveportchamber.org//calendar.php?e=1606,Shreveport/Bossier
"GPC Lunch & Learn ""How to do Business with the Bossier Parish School Board""",08-03-2016 at 11:30 am,http://www.shreveportchamber.org//calendar.php?e=1607,Shreveport/Bossier
J Pat Beaird Top Businesses Awards Luncheon,09-29-2016 at 11:30 am,http://www.shreveportchamber.org//calendar.php?e=1593,Shreveport/Bossier
Breakfast of Champions - Shreveport Job Corps Center,10-04-2016 at 8:15 am,http://www.shreveportchamber.org//calendar.php?e=1560,Shreveport/Bossier
Ribbon Cutting – Poshe Salon,7 July 2016 3:30 pm Venue:  Poshe Salon,https://bossierchamber.com/events/event/ribbon-cutting-poshe-salon/,Shreveport/Bossier
Barksdale Commanders Assembly,12 July 2016 11:30 am Venue:  Hilton Garden Inn,https://bossierchamber.com/events/event/barksdale-commanders-assembly-2/,Shreveport/Bossier
Ribbon Cutting – Raising Cane’s Grand Re-opening,15 July 2016 9:30 am Venue:  Raising Cane's,https://bossierchamber.com/events/event/ribbon-cutting-raising-canes-grand-re-opening/,Shreveport/Bossier
ANECA Dance Day,30 July 2016 6:00 pm Venue:  AC Steere Park,https://bossierchamber.com/events/event/aneca-dance-day/,Shreveport/Bossier
"
            Old World Christmas Lights Spectacular 
        ","
        Dates: 19 Nov, 2016 – 07 Jan, 2017
      ",http://visitwebster.net/Calendar/Details/Old-World-Christmas-Lights-Spectacular,Webster
"
            Fasching Karneval ""Mardi Gras"" and Parade 
        ","
        Dates: 23 – 23 Jan, 2016
      ",http://visitwebster.net/Calendar/Details/2016/01/23/fasching-karneval-mardi-gras-and-parade,Webster
"
            Fasching Karneval ""Mardi Gras"" and Parade 
        ","
        Dates: 23 – 23 Jan, 2016
      ",http://www.visitwebster.net/calendar/Details/2016/01/23/fasching-karneval-mardi-gras-and-parade,Webster
"
            Springhill Main Street Mardi Gras Parade
        ","
        Dates: 23 – 23 Jan, 2016
      ",http://visitwebster.net/Calendar/Details/2015/01/24/springhill-main-street-mardi-gras-parade,Webster
"
            Springhill Main Street Mardi Gras Parade
        ","
        Dates: 23 – 23 Jan, 2016
      ",http://www.visitwebster.net/calendar/Details/2015/01/24/springhill-main-street-mardi-gras-parade,Webster
"
            Minden - St Jude 5K, Silent Auction & Chili Cookoff
        ","
        Dates: 06 – 06 Feb, 2016
      $1,319,630.00 raised in 2015!",http://www.visitwebster.net/calendar/Details/2016/02/06/minden---st-jude-5k-silent-auction-chili-cookoff,Webster
"
            North Webster 6th Annual Black History Parade 
        ","
        Dates: 13 – 13 Feb, 2016
      ",http://www.visitwebster.net/calendar/Details/2016/02/20/north-webster-6th-annual-black-history-parade,Webster
"
            âBuds and Bloomsâ Seminar
        ","
        Dates: 27 – 27 Feb, 2016
      ",http://visitwebster.net/Calendar/Details/2016/02/27/-buds-and-blooms-seminar,Webster
"
            âBuds and Bloomsâ Seminar
        ","
        Dates: 27 – 27 Feb, 2016
      ",http://www.visitwebster.net/calendar/Details/2016/02/27/-buds-and-blooms-seminar,Webster
"
            Springhill - Glow in the Dark Easter Egg Hunt
        ","
        Dates: 26 – 26 Mar, 2016
      ",http://www.visitwebster.net/calendar/Details/2016/03/27/springhill---glow-in-the-dark-easter-egg-hunt,Webster
"
            Scottish Tartan Festival 
        ","
        Dates: 08 – 08 Apr, 2017
      ",http://www.visitwebster.net/calendar/Details/2016/04/02/scottish-tartan-festival,Webster
"
            CHICKENSTOCK-Spring Arts Festival for Kids
        ","
        Dates: 11 – 16 Apr, 2016
      ",http://www.visitwebster.net/calendar/details/2016/04/11/chickenstock-spring-arts-festival-for-kids,Webster
"
            Historic Hwy 80 Sale - Webster Parish
        ","
        Dates: 15 – 16 Apr, 2016
      ",http://www.visitwebster.net/calendar/Details/2016/04/15/historic-hwy-80-sale---webster-parish,Webster
"
            Burn Run 2016
        ","
        Dates: 15 – 16 Apr, 2016
      ",http://www.visitwebster.net/calendar/Details/2016/04/15/burn-run-2016,Webster
"
             Trails & Trellises Garden Tour
        ","
        Dates: 14 – 14 May, 2016
      ",http://www.visitwebster.net/calendar/Details/2016/05/14/trails-trellises-garden-tour,Webster
